autor;title;path;added
Jorge Luis Borges;El jardín de los senderos que se bifurcan;assets/text/words_borges_jardin.txt;2024
Jorge Luis Borges;Funes el memorioso;assets/text/words_borges_funes.txt;2024
Jorge Luis Borges;La biblioteca de Babel;assets/text/words_borges_biblioteca.txt;2024
Jorge Luis Borges;Las ruinas circulares;assets/text/words_borges_ruinas.txt;2024
Julio Cortázar;Casa tomada;assets/text/words_cortazar_casa.txt;2024
Julio Cortázar;Instrucciones para subir una escalera;assets/text/words_cortazar_escalera.txt;2024
