number;equation;file_id;path
1;1 = 1;AgACAgEAAxkBAAIFxGGVhMC9wL8aXWsQ5GQkFJ_mU2QdAALtqTEbQ5qoRDH5Zp1O5jyvAQADAgADcwADIgQ;assets/img/reverse_numbers/s_001.jpg
2;2 = 2;AgACAgEAAxkBAAIFxWGVhMDFX9R3UDOdLi2CccuNiVZVAALuqTEbQ5qoRIYKn_X8yfGfAQADAgADcwADIgQ;assets/img/reverse_numbers/s_002.jpg
3;3 = 1 + 1 + 1;AgACAgEAAxkBAAIFxmGVhMBM6Nid5LT7gptk2EhhNQgwAALvqTEbQ5qoREbcJmA6sK9MAQADAgADcwADIgQ;assets/img/reverse_numbers/s_003.jpg
4;4 = 2 + 2;AgACAgEAAxkBAAIFx2GVhMDtg6pPBw_Hu1O7ujkGFTnHAALwqTEbQ5qoRH0CBRERG990AQADAgADcwADIgQ;assets/img/reverse_numbers/s_004.jpg
5;5 = 5;AgACAgEAAxkBAAIFyGGVhMBpPLNQQdNhqDgd15vpnBydAALxqTEbQ5qoRKPYNqwy-Ha_AQADAgADcwADIgQ;assets/img/reverse_numbers/s_005.jpg
6;6 = 2 + 2 + 2;AgACAgEAAxkBAAIFyWGVhMAOtc7CY-EpSYPRmiVdpRXoAALyqTEbQ5qoRLsvLWSuNhBuAQADAgADcwADIgQ;assets/img/reverse_numbers/s_006.jpg
7;7 = 1 + 5 + 1;AgACAgEAAxkBAAIFymGVhMAbWsHI-AYmDigqTYYRkbPiAALzqTEbQ5qoRLCfkuiWIKTkAQADAgADcwADIgQ;assets/img/reverse_numbers/s_007.jpg
8;8 = 8;AgACAgEAAxkBAAIFy2GVhMCOs2ULTATGcqzXiuJJ7LSUAAL0qTEbQ5qoRIEQ5Fek81gIAQADAgADcwADIgQ;assets/img/reverse_numbers/s_008.jpg
9;9 = 2 + 5 + 2;AgACAgEAAxkBAAIFzGGVhMBjEOzgyIPAo2gKWZ8crz88AAL1qTEbQ5qoRGhuNq27oOu8AQADAgADcwADIgQ;assets/img/reverse_numbers/s_009.jpg
10;10 = 1 + 8 + 1;AgACAgEAAxkBAAIFzWGVhMDC8K706yImifM439ieDFZzAAL2qTEbQ5qoRLCkjTQZypObAQADAgADcwADIgQ;assets/img/reverse_numbers/s_010.jpg
11;11 = 11;AgACAgEAAxkBAAIGQWGVkEegf66Zs59gxwprxbrLR2BBAAL6qTEbQ5qoREFlzaHjUNAWAQADAgADcwADIgQ;assets/img/reverse_numbers/s_011.jpg
