number;equation;file_id;path
12;12 = 2 + 8 + 2;AgACAgEAAxkBAAIGQmGVkEfuyqKYG7-vx1QT1yO9F1mnAAL7qTEbQ5qoRBCamJuWcFeIAQADAgADcwADIgQ;assets/img/reverse_numbers/s_012.jpg
13;13 = 1 + 11 + 1;AgACAgEAAxkBAAIGQ2GVkEfhDwPowoNWO1JC-zFOZSIzAAL8qTEbQ5qoRALG4bQpqGkdAQADAgADcwADIgQ;assets/img/reverse_numbers/s_013.jpg
14;14 = 2 + 5 + 5 + 2;AgACAgEAAxkBAAIGRGGVkEcWR-06MBtfeWSpiTaxl2euAAL9qTEbQ5qoRONZlQ0CFP3bAQADAgADcwADIgQ;assets/img/reverse_numbers/s_014.jpg
15;15 = 9 + 6;AgACAgEAAxkBAAIGRWGVkEc5xfEKl13n9igQBR1NoIHpAAL-qTEbQ5qoRKV79d-W7lDSAQADAgADcwADIgQ;assets/img/reverse_numbers/s_015.jpg
16;16 = 8 + 8;AgACAgEAAxkBAAIGWmGWmXlhlEDbvRcEGmO0IcXxRu-RAAInrTEbsiu5RMWmIsQP8ncWAQADAgADcwADIgQ;assets/img/reverse_numbers/s_016.jpg
17;17 = 9 + 2 + 6;AgACAgEAAxkBAAIGW2GWmXn01_JHU3oBdIQIsg-Uuiz8AAIorTEbsiu5RKPjgpUEHhAMAQADAgADcwADIgQ;assets/img/reverse_numbers/s_017.jpg
18;18 = 1 + 8 + 8 + 1;AgACAgEAAxkBAAIGXGGWmXlptQYZ7fptuQABqcLb5bHcPAACKa0xG7IruUTtFKjmYmTLXgEAAwIAA3MAAyIE;assets/img/reverse_numbers/s_018.jpg
19;19 = 2 + 9 + 6 + 2;AgACAgEAAxkBAAIGXWGWmXm6RpnA949AfSUx5Uq6UyiKAAIqrTEbsiu5RBqK7XfffJV_AQADAgADcwADIgQ;assets/img/reverse_numbers/s_019.jpg
20;20 = 9 + 5 + 6;AgACAgEAAxkBAAIGXmGWmXngDGi7nr735spmCTXfWgHQAAIrrTEbsiu5RBAlW4cbaDPYAQADAgADcwADIgQ;assets/img/reverse_numbers/s_020.jpg
21;21 = 89 - 68;AgACAgEAAxkBAAIGX2GWmXnFY7kitJCM0BrkSDU3WaG1AAIsrTEbsiu5RMf7hBTV6z6MAQADAgADcwADIgQ;assets/img/reverse_numbers/s_021.jpg
22;22 = 22;AgACAgEAAxkBAAIGYGGWmXk12cRqPCx-06hhq64tqj43AAItrTEbsiu5RMwoBHh51MRpAQADAgADcwADIgQ;assets/img/reverse_numbers/s_022.jpg
23;23 = 9 + 8 + 6;AgACAgEAAxkBAAIGYWGWmXl0zCL1DIkIyItHS9eyncltAAIurTEbsiu5ROwhk-YBEX3AAQADAgADcwADIgQ;assets/img/reverse_numbers/s_023.jpg
24;24 = 8 + 8 + 8;AgACAgEAAxkBAAIGYmGWmXk8Ds6S1lNUzgk4iL8k1168AAIvrTEbsiu5RAmxkjlxWu4CAQADAgADcwADIgQ;assets/img/reverse_numbers/s_024.jpg
25;25 = 5 x 5;AgACAgEAAxkBAAIGY2GWmXlfPlU5jO5E2I2UWcjL8wQJAAIwrTEbsiu5RMqBoKKdmvg9AQADAgADcwADIgQ;assets/img/reverse_numbers/s_025.jpg
26;26 = 5 + 8 +8 +5;AgACAgEAAxkBAAIUfGGiQEehXSKVCabEIIPHwFPvDBiTAAL6qTEbDA4YRS1ZbwGKoJDQAQADAgADcwADIgQ;assets/img/reverse_numbers/s_026.jpg
27;27 = 52 - 25;AgACAgEAAxkBAAIUfWGiQFaxFydWXprlxwTIuiegS2lMAAL7qTEbDA4YRXJ2yPgwd2LxAQADAgADcwADIgQ;assets/img/reverse_numbers/s_027.jpg
28;28 = 2 + 8 + 8 + 8 +  2;AgACAgEAAxkBAAIUfmGiQGDGC0BtccgQD_uplJzLQayAAAL8qTEbDA4YRWP-xMKgboq7AQADAgADcwADIgQ;assets/img/reverse_numbers/s_028.jpg
29;29 = 2 + 5 x 5 + 2;AgACAgEAAxkBAAIUf2GiQGbUnRWmY17zjd8XARi1DDWyAAL9qTEbDA4YRfQ8jhel0ZvWAQADAgADcwADIgQ;assets/img/reverse_numbers/s_029.jpg
30;30 = 9 + 6 + 9 + 6;AgACAgEAAxkBAAIUgGGiQGqqiIj2rZ_WdzDdI3C9ZpE1AAL-qTEbDA4YRSq4xwEo8g3AAQADAgADcwADIgQ;assets/img/reverse_numbers/s_030.jpg
31;31 = 9 + 8 + 8 + 6;AgACAgEAAxkBAAIUgWGiQG6YmH7sGscEjODMegsC6w96AAL_qTEbDA4YRduPm0Om41BhAQADAgADcwADIgQ;assets/img/reverse_numbers/s_031.jpg
32;32 = 8 + 8 + 8 + 8;AgACAgEAAxkBAAIUgmGiQHKv3DeVk9PgT_9aGldDRzVxAAOqMRsMDhhFxePEtd02Gc8BAAMCAANzAAMiBA;assets/img/reverse_numbers/s_032.jpg
33;33 = 12 + 21;AgACAgEAAxkBAAIUg2GiQHXtmHF5v1EUg2dqNPefRVEfAAIBqjEbDA4YRQpB-XITyMnRAQADAgADcwADIgQ;assets/img/reverse_numbers/s_033.jpg
34;34 = 5 + 8 + 8 + 8 + 5;AgACAgEAAxkBAAIUhGGiQHnLsKGo20M1dNGynTzERu3SAAICqjEbDA4YRVqGbvmzoDzgAQADAgADcwADIgQ;assets/img/reverse_numbers/s_034.jpg
35;35 = 5 + 5 x 5 + 5;AgACAgEAAxkBAAIUhWGiQH9-5ID5j7F1kBH80xGMBgHgAAIDqjEbDA4YRexC2y8B4mPXAQADAgADcwADIgQ;assets/img/reverse_numbers/s_035.jpg
36;36 = 51 - 15;AgACAgEAAxkBAAIUhmGiQIJD6DC_3ztxyWq0vf1Jh2fBAAIEqjEbDA4YRfgaN51ySl1MAQADAgADcwADIgQ;assets/img/reverse_numbers/s_036.jpg
37;37 = 8 + 8 + 5 + 8 + 8;AgACAgEAAxkBAAIUh2GiQIefw_eWtguf_q-cIkSCiqr5AAIFqjEbDA4YRREfx0rqjz51AQADAgADcwADIgQ;assets/img/reverse_numbers/s_037.jpg
38;38 = 8 + 22 + 8;AgACAgEAAxkBAAIUiGGiQIqG4xG2pieQtyosKpWsGBSPAAIGqjEbDA4YRWxtS1jwuImlAQADAgADcwADIgQ;assets/img/reverse_numbers/s_038.jpg
39;39 = 95 - 56;AgACAgEAAxkBAAIUiWGiQI0flGMKyeggWdL2iPTa1i49AAIHqjEbDA4YRQxvCHQl9OQOAQADAgADcwADIgQ;assets/img/reverse_numbers/s_039.jpg
40;40 = 6 + 5 x 5 + 9;AgACAgEAAxkBAAIUimGiQJLRyIjLB6mvObMBJprcWwrsAAIIqjEbDA4YRckx8DqJ9ce2AQADAgADcwADIgQ;assets/img/reverse_numbers/s_040.jpg
