festival;category;author;title;about;url
11º;Deportes;Diego Pokorski;Números hechos pelota;Deconstruyendo las estadísticas deportivas.;https://youtu.be/uVzp7askYm0
11º;Acertijos;Jeanette Shakalli;Rompecabezas con palillos de dientes;Una recolección de acertijos que te pondrán a pensar sin pincharte.;https://youtu.be/ryTDhqdvN5Y
10º;Ciencia;Gustavo Piñeiro;Una difícil elección;La paradoja de Newcomb; o los riesgos de prever el futuro en un mundo de libre albedrío.;https://youtu.be/0NDH_QHFoEo
10º;Ciencia;Claudio Sánchez;Matemática en el siglo XXXI;Un recorrido por las muchas curiosidades, acertijos y paradojas numéricas de la serie Futurama.;https://youtu.be/3eUgeedmcQg
10º;Ciencia;Daniel Grimaldi;Las reglas de la vida;Cual 'dioses' de la estética, vamos a generar resultados visuales deslumbrantes jugando con unas pocas pautas sencillas.;https://youtu.be/pJ22N-x4oas
10º;Historia;Patricia Boero Ricardi;Juegos medievales de tablero;Su origen histórico y su fabricación artesanal, en un recorrido lúdico-cultural apasionante.;https://youtu.be/Vg0vzzolPZ8
10º;Acertijos;Esteban Grinbank y Claudio Meller;Comercio interestelar;Los productos y las marcas de todos los días... vistos con ojos de extraterrestre.;https://youtu.be/-Q7UZMcDYrM
4º;Acertijos;Pablo Coll;Una nueva mirada a problemas clásicos;El problema del pibe que espera el tren y se toma el primero que viene, el medir el tiempo con relojes de arena, o tal vez con velas, o el de armar un rectángulo con todos cuadrados diferentes. Todos, algunos o ninguno de estos problemas o de otros van a ser tratados en esta charla, desde una perspectiva novedosa, o tal vez no tanto.;https://youtu.be/FGvJHmEg4U0
8º;Acertijos;Pedro Casado;El cubo mágico;Su historia, los métodos de resolución y las competencias mundiales, contados en primera persona por el máximo velocista argentino.;https://youtu.be/Kd6sZysO82o
8º;Música;Rodrigo Valla;El juego del ruido;Mientras los discos de vinilo vuelven a estar de moda surge una nueva batalla entre lo analógico y lo digital. Ganar o perder da igual, siempre y cuando logremos hacerla sonar...;https://youtu.be/kqW_jaKNZB0
7º;Curiosidades;Alfredo Fontana;Simples y triples;El aristócrata inglés John Montagu, IV conde de Sandwich, le gustaba comer sanguches mientras jugaba a las cartas, para no interrumpir el juego. Pero nunca se le ocurrió jugar a los sánguches con las cartas.;https://youtu.be/8c5DOH6WL_U
11º;Curiosidades;Pablo Coll;Razones para festejar;Más excusas que los cumpleaños para reunirse a comer un asado.;https://youtu.be/Bwwc9ALyHGY
10º;Música;Rodrigo Valla;Música Neuronal;Una baraja de cartas especiales, un pequeño grupo de reglas y un auditorio lleno de intérpretes.;https://youtu.be/JoMVHozWAXs
10º;Acertijos;Fernando Chorny;Rápido y curioso;Un acertijo con letras como excusa para explorar el sutil arte de brindar una pista.;https://youtu.be/dng0-5PM6Bo
11º;Acertijos;Fernando Chorny;Noruego - sirio;Un juego de armar parejas para elegir la carcajada, en vez de andar mangueando soluciones.;https://youtu.be/sE-Ng4dXvuk
11º;Magia;Fernando Blasco;La matemagia de Martin Gardner;Nos sorprendemos con unos trucos increíbles, ten una baraja a mano.;https://youtu.be/dYGq4N86ZAo
9º;Curiosidades;Pablo Coll;Cubo o esfera;La modelización matemática nos ayuda a cortar un cuarto de manzana.;https://youtu.be/RBrAbiLA7hI
8º;Acertijos;Moisés Blei;Rebuses;El arte de transformar las imágenes en palabras y viceversa.;https://youtu.be/H7L-w4gG6WU
7º;Acertijos;Fernando Chorny;Cuadrados circulando;Una galería con algunos cuadrados de autor y una invitación a unirnos en la empresa de cuadrar el mundo.;https://youtu.be/c8jsUPWObgA
11º;Curiosidades;Claudio Meller y Susana Meller;Curiosidades del turismo porteño;Cosas que no sabías de la ciudad de Buenos Aires.;https://youtu.be/uI-4hRmrohs
11º;Acertijos;Laura Spivak;Ludogramas;Diseño de <i>palabrimágenes</i> que no son otra cosa que eso. Palabras con imágenes que hablan por sí mismas.;https://youtu.be/cQCfCQlv9Zw
11º;Acertijos;Rodolfo Kurchan;Autorreferencia;En esta charla voy a hablar sobre esta charla.;https://youtu.be/1mroEWqnzLA
9º;Curiosidades;Claudio Sánchez;La paradoja del libro nunca escrito;El principio de no conservación de las ideas en los viajes en el tiempo.;https://youtu.be/Nu8MUcUm2sU
10º;Curiosidades;Leopoldo Kulesz;¡Por Tutatis!;Las aventuras del equipo que propuso una traducción de Ásterix fiel al original francés.;https://youtu.be/5ngq8Z83Lho
9º;Acertijos;Moisés Blei;Volviendo al colegio;Rebuses para desenpolvar los manuales del secundario.;https://youtu.be/Bf2JOPfoOEU
7º;Curiosidades;Pablo Coll;Esos extraños pesos netos;No todos son fracciones sencillas de medidas francesas o inglesas en la viña del señor.;https://youtu.be/vcCW7dnUSwg
