date;interval;start;rebus;acertijo;firewall;jugarmenor;jugarpromedio;palindromo;reversible;video;info;help;wrong_message;errors
2021-12-13;1 day, 00:00:00;1;[4, 0, 0, 4, 0];[1, 0, 0, 1, 0];[12, 2, 4, 3, 3];3;0;1;1;1;[1, 0, 0, 0];1;0;0
2021-12-21;7 days, 18:36:14;1;[3, 2, 1, 0, 0];[0, 0, 0, 0, 0];[3, 0, 0, 0, 3];0;0;1;0;0;[1, 0, 0, 0];0;0;0
2021-12-30;8 days, 19:06:01;0;[13, 8, 1, 4, 0];[8, 7, 0, 0, 1];[8, 4, 0, 4, 0];2;0;1;2;0;[0, 0, 0, 0];0;0;0
2022-2-20;52 days, 8:48:41;0;[28, 15, 3, 4, 6];[2, 0, 0, 2, 0];[1, 1, 0, 0, 0];0;0;8;7;0;[0, 0, 0, 0];0;0;0
2022-2-21;21:26:55;2;[2, 0, 0, 2, 0];[2, 1, 1, 0, 0];[1, 0, 0, 1, 0];13;0;2;0;0;[0, 0, 0, 0];1;0;0
2022-4-1;1 day, 12:13:19;0;[0, 0, 0, 0, 0];[0, 0, 0, 0, 0];[0, 0, 0, 0, 0];0;0;0;0;0;[1, 0, 0, 0];0;0;0
2022-7-19;108 days, 4:22:29;2;[2, 2, 0, 0, 0];[2, 1, 0, 1, 0];[2, 1, 0, 0, 1];0;0;11;1;0;[1, 0, 0, 0];1;0;0
2022-8-7;19 days, 18:21:10;0;[0, 0, 0, 0, 0];[0, 0, 0, 0, 0];[0, 0, 0, 0, 0];1;0;0;0;0;[0, 0, 0, 0];0;0;0
